0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0.639545225,-0.030493688,0.580213382,0.739725101,0.866170836,0.686668336,0.886477538,-0.10088672,1.234017741,1.098836119,0.887314932,1.224292667,1.609350627,1.843651272,1.486251649,0.81298038,0.791824444,0.879168689,0.316933578,1.235938388,0.738319571,0.646229865,0.345210949,0.712552811,1.433216461,2.004348449,0.870490502,0.351523487,-0.306701864,0.916855756,2.103553999,-0.112220958,1.198930899,0.844683777,1.014416273,0.340203368,-0.358419961,0.947963659,0.030167706,1.562231602,0.659236679,0.682929247,1.260114045,1.45720904,1.13692459,1.283028973
0.30705255,0.097048391,0.710545617,0.838578505,-0.160546793,0.199807242,-0.463299701,-0.101539632,0.456162878,0.102362033,0.007067309,0.040239367,0.897068856,0.904532062,0.345795491,0.104928976,0.377043564,0.262975252,0.43958338,0.361872266,-0.058733791,-0.082321001,0.251653946,0.650639832,0.219291496,0.996958341,0.508953046,0.484048167,-0.249023691,0.247781286,0.172156435,0.488759092,0.147446322,0.307813948,0.231049947,-0.029533168,-0.073337869,-0.200609699,0.516517079,0.520410019,1.06511831,0.540463264,0.588890309,-0.013816808,-0.27584833,0.865927851
-0.499069028,0.109012536,-0.155070057,-0.481718957,-0.363719722,-0.945373235,0.034648149,-0.215294001,0.421781014,-0.109464244,-0.611521597,0.829621825,-0.689905754,-0.237617927,-0.7720219,-0.921305783,-0.226917007,-0.842116008,-0.403211017,-0.026821589,0.312361624,0.170051057,0.067272748,-0.914830865,0.087101193,0.073139992,-0.0146185,-0.456584729,0.658062768,-0.651867894,-0.324425635,0.838185561,-0.096048648,-0.452515093,-0.311965652,0.095795633,0.129504494,-0.186758164,0.097887034,-0.060326922,0.274600033,0.07225504,-0.565180842,-0.444698276,0.218481884,-0.095763865
-0.364832472,-0.436993069,-0.391883135,0.082571967,-1.28985984,-0.264619652,-0.879324989,-0.280774483,-0.713937971,-0.792686622,-1.081172857,-0.350870949,-0.649800301,-0.47385091,-0.508849869,-0.473920947,-0.547076297,-0.613025528,-0.607369217,0.290404187,-0.129512667,-0.068961148,0.026635978,0.163257697,-0.445183713,-0.03555507,-0.250385586,-0.354605717,-0.291073413,-0.696668232,-0.662427594,-0.155221365,-0.158245658,-0.643097076,-0.882074946,-0.193480745,-0.296844572,-0.287862903,-0.250553097,-0.185418842,0.609694632,0.037240926,-0.580594216,-0.444679548,-0.255734934,-0.16459902
-0.961153561,-0.953220152,-0.464019416,-0.088505068,-0.650653464,-1.328772603,-0.505364624,-0.929738448,-0.242436058,-0.815351183,-0.639147697,-0.267170438,-0.786827788,-0.296621099,-0.522034814,-1.343631065,-0.81675728,-1.245267566,-0.975821849,-0.161416481,-1.399445701,-0.702515321,-0.806530593,-0.013812227,-0.735483704,-0.230954046,-0.571779482,-0.561284766,-0.760559515,-0.963691007,-0.688336189,-0.692323588,-1.079681253,-0.855930903,-0.516980482,-1.196477095,-0.551539156,-0.748336424,-0.228455639,-0.056157854,-0.299929148,-0.289676447,-0.371966557,-0.940418724,-0.288222054,-0.355556761
0.229313039,-0.740494782,-0.197657078,-0.453668274,-0.000864355,-1.015198286,-0.065025862,-0.811035074,1.401453991,-0.292367424,0.600612678,1.008068848,1.124250001,1.307176226,0.922247768,-0.929785621,-0.291894388,-0.677098733,-0.04668866,0.465316738,-0.764209442,-0.342314457,-0.98933179,0.679053621,-1.252422657,1.096823841,-1.039144239,1.282946737,-1.043964843,-0.983108997,-0.488620352,-1.022138337,-0.184735606,-1.33086801,-0.229998954,-0.947014516,-0.63124664,-1.500688661,-0.547323635,-0.370372958,-0.294122914,-0.178383391,-0.062529753,-0.607125638,-0.433696557,-0.149971241
-0.211512224,-0.266474628,-0.309975555,0.373939949,0.157063008,-0.628931546,-0.100987212,-0.610954423,0.043797364,0.312351086,0.591022696,1.091745285,0.317238178,0.347041729,-0.047156217,-0.552838546,-0.095488611,-0.684811248,-0.106628942,0.700951017,0.070285415,0.000861843,-0.297869704,-0.568317787,0.243834803,0.310769596,-0.230548372,-0.382995456,-0.199670961,-0.354732707,-0.371877196,0.005622693,-0.331168145,-0.194674712,0.428947,-0.054391285,0.408607799,-0.429544572,0.534448993,0.4890159,0.421233584,0.373429814,-0.224333547,-0.089455866,-0.012476926,0.326902601
0.080577646,0.06493587,-0.076998049,0.643599686,0.19508066,0.003994867,0.897535485,-0.324789832,0.14659543,0.66000857,0.472888757,1.314587941,0.286892754,0.463596786,-0.260037139,-0.189944507,0.361989767,0.008701908,0.419560021,0.671890404,0.414506805,0.429358369,0.531216572,0.454074842,-0.413994808,-0.64941924,-0.09397906,-0.733387247,0.423757495,-0.262152512,-1.468321775,-0.681991132,0.663157713,-0.322956454,0.049474264,0.076712485,0.187782357,0.334804313,0.252828764,-0.236640788,0.434167448,0.03046261,0.313423361,-0.041341421,0.440253775,0.413103386
-0.224343249,0.050783996,-0.769785977,-1.595518947,-0.653473843,0.085402813,-0.68701249,0.211585631,-0.672037343,-0.537197123,0.055490796,0.26110867,-0.159463444,-0.476682513,-1.197970042,-0.038176401,-0.432812164,-0.121970337,-0.20595208,-0.67049166,0.100812457,0.210028407,-0.316066841,-1.631749646,0.278444368,-0.061380279,-0.484787435,-1.062370331,0.416898578,-0.655131402,-0.238247626,-0.771169896,0.02142998,0.137605336,-0.186058039,0.429672168,0.030689095,-0.852443953,0.363979551,0.263365068,-0.299768358,-0.841183439,-0.425170517,-0.04212253,-0.229470767,-0.176325615
-0.15138352,0.35068455,-0.05409677,0.822686137,0.562227866,-0.362883974,0.567917655,-0.473208438,-0.058992034,0.546019205,0.894662341,1.158628903,0.331174707,0.812743933,0.341659417,-0.523451354,0.548950785,-0.116665069,0.399208236,0.1937244,-0.565216914,0.505455136,0.811189386,0.823125556,-0.897401451,0.083039219,0.134405113,0.426753808,-0.238251445,-0.537217796,-0.46091104,0.602149549,0.584047394,-0.041734404,0.780728033,-0.269594586,-0.087098083,0.152720789,0.735321081,-0.365779731,0.814309554,0.570134502,0.44917125,0.040035074,1.20351547,0.388096201
0.126982135,-0.185865542,0.18378021,-0.031133958,0.353735276,-0.232452033,0.440269016,-1.129339668,-0.151557489,0.239127192,0.144068936,0.499236404,0.058798901,0.946132782,0.254780114,-0.744032482,0.507430116,0.002384236,0.512161922,0.543268247,-0.670237485,-0.110589956,-0.164413585,0.444467556,-0.643228713,0.19764193,0.066939076,0.186020066,-1.047568107,-0.579189811,0.901836926,-1.079552951,-0.093916335,-0.304287589,0.247114386,-0.947007605,-0.024142709,0.480430721,0.129458142,-0.146494527,0.379327259,0.318188351,0.157482894,-0.429010547,-0.010118335,0.212229687
-0.833500996,-0.917381622,-0.27893517,-0.542954278,-0.534861753,-1.164150012,-0.437631456,-0.5126108,-0.315826906,-0.287939806,-0.251981109,0.127262482,-0.213592332,-0.020056778,-0.473441189,-0.729177926,-0.472718392,-0.76101308,-0.337933348,-0.036545634,-0.477654355,-0.214727567,-0.429875711,-0.594606959,-0.261868521,-0.222812468,-0.292376167,-0.893347194,-0.244411009,-0.469102664,-0.43186957,-1.37977661,-0.130730902,-0.426829196,-0.113100749,-0.145515317,-0.203682682,-0.039942045,0.507050547,0.050708483,-0.103527991,0.019678224,-0.451675334,-0.433259639,-0.307032845,0.564797967
-1.346242951,-1.314636094,-0.331225499,-0.948398375,-0.36316614,-0.798626948,0.774922554,-1.817610301,1.368803653,-0.359017088,0.188426784,0.097634848,0.161900648,0.67777554,-0.092110455,-1.49105478,-0.605831759,-0.877210993,-1.435726953,0.643624807,-1.492890175,-1.067739987,-1.507740975,1.135387716,-1.252881449,-0.211034169,0.658912583,1.201580376,-1.542938162,-0.908194938,-1.639541637,-1.067617577,-1.195020389,-1.190856126,-1.173538078,-1.55196687,-1.428128269,-1.592774435,-0.045421704,-0.706623706,0.832495147,0.558112485,0.575310554,-1.499352138,-1.238786783,-0.772797776
0.846618477,0.08291834,0.073848782,1.671632039,0.374321686,0.078604583,0.193207757,-0.299372719,0.297363255,0.219791979,0.066087931,0.327739798,0.715806335,0.566907456,0.195299552,0.314355601,0.648408552,0.15378878,0.2742276,0.076342708,-0.215155392,0.139679705,1.645860839,0.954551068,-0.098950368,0.011870746,0.057605723,-0.235172583,0.538861622,-0.004705673,1.127233366,-0.381376092,0.042818294,0.364165757,0.667912507,-0.082335544,0.003900999,-0.414449946,0.53349982,0.095306267,1.071683131,0.391640989,-0.032149921,0.023082545,0.44855854,0.283954685
